"Qubit","T1 (us)","T2 (us)","Readout assignment error","Prob meas0 prep1","Prob meas1 prep0","Readout length (ns)","ID error","Single-qubit gate length (ns)","RX error","Z-axis rotation (rz) error","√x (sx) error","Pauli-X error","CZ error","Gate length (ns)","RZZ error","MEASURE error","MEASURE_2 error","Operational"
"42","337.8300954019123","103.66205342526679","0.0089111328125","0.01171875","0.006103515625","2280","0.00028035970205417786","32","0.00028035970205417786","0","0.00028035970205417786","0.00028035970205417786","41:0.0024471773629091698;43:0.003213707502101787","41:68;43:68","41:0.0026663016471234757;43:0.003922978911390679","0.0089111328125","0.013916015625","Yes"
"43","174.6143462098715","38.117603556962706","0.0108642578125","0.01220703125","0.009521484375","2280","0.0005217207817560906","32","0.0005217207817560906","0","0.0005217207817560906","0.0005217207817560906","42:0.003213707502101787;56:0.0024817311194713643;44:0.004604676946266595","42:68;56:68;44:68","42:0.003922978911390679;56:0.0020930774337536984;44:0.004542196426027073","0.0108642578125","0.02685546875","Yes"
"44","223.37024793908398","243.0528775102009","0.003173828125","0.00537109375","0.002685546875","2280","0.00014430624083659578","32","0.00014430624083659578","0","0.00014430624083659578","0.00014430624083659578","45:0.0013939218685118104;43:0.004604676946266595","45:68;43:68","45:0.0014445415023624508;43:0.004542196426027073","0.003173828125","0.007080078125","Yes"
"45","383.61475216300227","200.63693574226124","0.010986328125","0.009765625","0.01220703125","2280","0.00022805749083772375","32","0.00022805749083772375","0","0.00022805749083772375","0.00022805749083772375","44:0.0013939218685118104;46:0.0013390719477034407;37:0.0030446390213376695","44:68;46:68;37:68","44:0.0014445415023624508;46:0.0014387835498554102;37:0.002467597810593386","0.010986328125","0.108642578125","Yes"
"46","128.00328556657635","87.63683837245517","0.0078125","0.011474609375","0.004150390625","2280","0.0004086575805496451","32","0.0004086575805496451","0","0.0004086575805496451","0.0004086575805496451","45:0.0013390719477034407;47:0.001494432462359585","45:68;47:68","45:0.0014387835498554102;47:0.0015703595959178362","0.0078125","0.026611328125","Yes"
"47","130.8912546938255","136.39330501161137","0.02001953125","0.017822265625","0.022216796875","2280","0.0004285995006846802","32","0.0004285995006846802","0","0.0004285995006846802","0.0004285995006846802","48:0.007737399650711935;57:0.0014121626050811742;46:0.001494432462359585","48:68;57:68;46:68","48:0.0040880963872193254;57:0.0014459580635745317;46:0.0015703595959178362","0.02001953125","0.076904296875","Yes"
"48","264.7166257743935","27.2113751502883","0.00537109375","0.008544921875","0.002197265625","2280","0.0002375133159737753","32","0.0002375133159737753","0","0.0002375133159737753","0.0002375133159737753","47:0.007737399650711935;49:0.0017043831527633058","47:68;49:68","47:0.0040880963872193254;49:0.0018607120746994","0.00537109375","0.0068359375","Yes"
"49","361.37263269635184","119.13633562254172","0.0079345703125","0.008056640625","0.0078125","2280","0.0003593797040901027","32","0.0003593797040901027","0","0.0003593797040901027","0.0003593797040901027","48:0.0017043831527633058;50:0.0023273298750861038;38:0.0014832374750078647","48:68;50:68;38:68","48:0.0018607120746994;50:0.002065915358407777;38:0.0012999126214059964","0.0079345703125","0.015625","Yes"
"50","231.66995942184798","169.2165843016988","0.008544921875","0.0078125","0.00927734375","2280","0.00017245316592450326","32","0.00017245316592450326","0","0.00017245316592450326","0.00017245316592450326","49:0.0023273298750861038;51:0.005399944642695748","49:68;51:68","49:0.002065915358407777;51:0.001109032709030705","0.008544921875","0.364990234375","Yes"
"51","420.9597927306761","324.1170303476405","0.0216064453125","0.023193359375","0.02001953125","2280","0.000146297138601338","32","0.000146297138601338","0","0.000146297138601338","0.000146297138601338","50:0.005399944642695748;52:0.0024346943131471344;58:0.001779846307547489","50:68;52:68;58:68","50:0.001109032709030705;52:0.0019409110233169213;58:0.001456305608056374","0.0216064453125","0.049072265625","Yes"
