"Qubit","T1 (us)","T2 (us)","Readout assignment error","Prob meas0 prep1","Prob meas1 prep0","Readout length (ns)","ID error","Single-qubit gate length (ns)","RX error","Z-axis rotation (rz) error","√x (sx) error","Pauli-X error","CZ error","Gate length (ns)","RZZ error","MEASURE error","Operational"
"56","314.9301991238342","26.659423647752725","0.0098876953125","0.015625","0.004150390625","2584","0.0003018157378190617","36","0.0003018157378190617","0","0.0003018157378190617","0.0003018157378190617","63:0.003328336131285775;43:0.0017717361951803956","63:68;43:68","63:0.0039479213526377455;43:0.0027940467923933954","0.0098876953125","Yes"
"57","154.13891695601518","100.99238337155639","0.0343017578125","0.05615234375","0.012451171875","2584","0.0003565141632109881","36","0.0003565141632109881","0","0.0003565141632109881","0.0003565141632109881","47:0.0018529974521178938;67:0.002434284394180697","47:68;67:68","47:0.0019518757689133137;67:0.001961603351335134","0.0343017578125","Yes"
"58","146.88278928654117","136.60818335752842","0.020751953125","0.028076171875","0.013427734375","2584","0.00018974981182645119","36","0.00018974981182645119","0","0.00018974981182645119","0.00018974981182645119","71:0.002002949685060651;51:0.0016444488364310839","71:68;51:68","71:0.003786751444726816","0.020751953125","Yes"
"59","162.67289690069182","170.63163336969208","0.01806640625","0.018798828125","0.017333984375","2584","0.0003260465405950519","36","0.0003260465405950519","0","0.0003260465405950519","0.0003260465405950519","55:0.0016355276032727073;75:0.001433575321795083","55:68;75:68","55:0.002728556953566885;75:0.0028610649816394607","0.01806640625","Yes"
"60","184.10188711714207","74.32037765634463","0.0086669921875","0.015869140625","0.00146484375","2584","0.0006356173258908377","36","0.0006356173258908377","0","0.0006356173258908377","0.0006356173258908377","61:0.0076709706338203565","61:80","61:0.030548231066391957","0.0086669921875","Yes"
"61","392.1412666049215","287.7271179733569","0.00732421875","0.04931640625","0.0068359375","2584","0.00032120161127829395","36","0.00032120161127829395","0","0.00032120161127829395","0.00032120161127829395","76:0.004149431232316425;60:0.0076709706338203565","76:68;60:80;62:68","76:0.0023143095022920834;60:0.030548231066391957","0.00732421875","Yes"
"62","164.40510201651597","79.13088921389922","0.010498046875","0.01611328125","0.0048828125","2584","0.0004432617585160252","36","0.0004432617585160252","0","0.0004432617585160252","0.0004432617585160252","63:0.0038084822442503996","61:68;63:68","63:0.003613007236230703","0.010498046875","Yes"
"63","137.91839989912157","110.89665455858525","0.048095703125","0.0390625","0.05712890625","2584","0.0004456112060854271","36","0.0004456112060854271","0","0.0004456112060854271","0.0004456112060854271","56:0.003328336131285775;62:0.0038084822442503996;64:0.005270039220192563","56:68;62:68;64:68","56:0.0039479213526377455;62:0.003613007236230703;64:0.0030139197419953023","0.048095703125","Yes"
"64","101.902763903984","47.8660761088017","0.013427734375","0.020751953125","0.006103515625","2584","0.0005072826877137156","36","0.0005072826877137156","0","0.0005072826877137156","0.0005072826877137156","65:0.0034574194949931747;63:0.005270039220192563","65:68;63:68","65:0.002662805527284179;63:0.0030139197419953023","0.013427734375","Yes"
"65","203.11857543140184","58.058325706143705","0.0482177734375","0.03271484375","0.063720703125","2584","0.00030490565909747653","36","0.00030490565909747653","0","0.00030490565909747653","0.00030490565909747653","64:0.0034574194949931747;66:0.0027225928922857967;77:0.002164028378671551","64:68;66:68;77:68","64:0.002662805527284179;66:0.002088075018890273;77:0.002277562614841744","0.0482177734375","Yes"
"66","141.2975861569883","94.44508800882086","0.0103759765625","0.012939453125","0.0078125","2584","0.00038472000702132657","36","0.00038472000702132657","0","0.00038472000702132657","0.00038472000702132657","65:0.0027225928922857967;67:0.0023614979499089195","65:68;67:68","65:0.002088075018890273;67:0.002067171913205823","0.0103759765625","Yes"
