"Qubit","T1 (us)","T2 (us)","Readout assignment error","Prob meas0 prep1","Prob meas1 prep0","Readout length (ns)","ID error","Single-qubit gate length (ns)","RX error","Z-axis rotation (rz) error","√x (sx) error","Pauli-X error","Gate length (ns)","CZ error","RZZ error","MEASURE error","Operational"
"61","195.00207282834205","103.48409952302907","0.068115234375","0.06689453125","0.0693359375","1560","0.00026756282495726927","24","0.00026756282495726927","0","0.00026756282495726927","0.00026756282495726927","76:68;60:68;62:68","76:0.0026914065677080268;60:0.0024333973964165423;62:0.0032411005766097567","76:0.004252828435438977;60:0.0019732732009994924;62:0.002643662935775587","0.068115234375","Yes"
"62","148.46166923049668","43.99151588858109","0.023681640625","0.02685546875","0.0205078125","1560","0.000322039190759464","24","0.000322039190759464","0","0.000322039190759464","0.000322039190759464","61:68;63:68","61:0.0032411005766097567;63:0.006576970802327026","61:0.002643662935775587;63:0.00748155107761897","0.023681640625","Yes"
"63","202.45288830799035","21.749850576833314","0.046875","0.0556640625","0.0380859375","1560","0.0005063630059422407","24","0.0005063630059422407","0","0.0005063630059422407","0.0005063630059422407","56:68;62:68;64:68","56:0.0046229154768344105;62:0.006576970802327026;64:0.046152120732064955","56:0.005994531927142166;62:0.00748155107761897;64:0.04724559596284142","0.046875","Yes"
"64","118.90860105102529","110.99210978963694","0.004638671875","0.00634765625","0.0029296875","1560","0.0004290019803209721","24","0.0004290019803209721","0","0.0004290019803209721","0.0004290019803209721","65:68;63:68","65:0.002952553061907226;63:0.046152120732064955","65:0.0027658932312679962;63:0.04724559596284142","0.004638671875","Yes"
"65","201.5501056014776","115.94894990652995","0.104248046875","0.09912109375","0.109375","1560","0.00038460493693321995","24","0.00038460493693321995","0","0.00038460493693321995","0.00038460493693321995","64:68;66:68;77:68","64:0.002952553061907226;66:0.00268688201442166;77:0.004764730689993363","64:0.0027658932312679962;66:0.002304775561711825;77:0.0033001866116127154","0.104248046875","Yes"
"66","132.86210621157153","20.821821528854485","0.012939453125","0.013671875","0.01220703125","1560","0.0002720613457545487","24","0.0002720613457545487","0","0.0002720613457545487","0.0002720613457545487","65:68;67:68","65:0.00268688201442166;67:0.0032326876263329973","65:0.002304775561711825;67:0.0031044911995450064","0.012939453125","Yes"
"67","147.96300461704888","54.400889072798584","0.0625","0.06494140625","0.06005859375","1560","0.00029390816687383377","24","0.00029390816687383377","0","0.00029390816687383377","0.00029390816687383377","68:68;57:68;66:68","68:0.0025994934164637606;57:0.00862825056536684;66:0.0032326876263329973","68:0.00215550327592956;57:0.003734886986699104;66:0.0031044911995450064","0.0625","Yes"
"68","135.21944927206843","105.0140787811736","0.008544921875","0.009765625","0.00732421875","1560","0.00021374589511010327","24","0.00021374589511010327","0","0.00021374589511010327","0.00021374589511010327","67:68;69:68","67:0.0025994934164637606;69:0.002849451747294701","67:0.00215550327592956;69:0.0034606807657946714","0.008544921875","Yes"
"69","167.39344229791337","85.44510295487765","0.008544921875","0.013671875","0.00341796875","1560","0.00024264809497138282","24","0.00024264809497138282","0","0.00024264809497138282","0.00024264809497138282","78:68;68:68;70:68","78:0.002701516332936582;68:0.002849451747294701;70:0.0049764313427129725","78:0.0017225857086611285;68:0.0034606807657946714;70:0.002546298662297053","0.008544921875","Yes"
"70","103.95330153060965","97.19428267769989","0.00439453125","0.005859375","0.0029296875","1560","0.0003431071514835034","24","0.0003431071514835034","0","0.0003431071514835034","0.0003431071514835034","69:68;71:68","69:0.0049764313427129725;71:0.003655862976141344","69:0.002546298662297053;71:0.003205024160457981","0.00439453125","Yes"
"71","135.93276215817366","78.85617712246119","0.005126953125","0.00830078125","0.001953125","1560","0.0003787309528444887","24","0.0003787309528444887","0","0.0003787309528444887","0.0003787309528444887","72:68;58:68;70:68","58:0.0022866695405709403;70:0.003655862976141344","58:0.002101458155494701;70:0.003205024160457981","0.005126953125","Yes"
"72","7.158666952819199","","0.44580078125","0.734375","0.1572265625","1560","","24","","0","","","73:68;71:68","","","0.44580078125","Yes"
"73","187.21856213048358","78.80280633653602","0.024658203125","0.03173828125","0.017578125","1560","0.0004594938883220305","24","0.0004594938883220305","0","0.0004594938883220305","0.0004594938883220305","72:68;74:68;79:68","74:0.003599956042645097;79:0.0042771324445338155","74:0.0018353291512797631;79:0.0023688385216090735","0.024658203125","Yes"
"74","135.8134456990924","136.6066946638498","0.0087890625","0.01123046875","0.00634765625","1560","0.00031372531305367255","24","0.00031372531305367255","0","0.00031372531305367255","0.00031372531305367255","73:68;75:68","73:0.003599956042645097;75:0.0023684728535198485","73:0.0018353291512797631;75:0.00224605715031459","0.0087890625","Yes"
